   0.0004038934 249.7980651855   0.0000000001   0.6663764715   0.0000973606   0.6664788127  19.9603500366   0.8404659033 111.7468032837   2.6307775974   0.0013499947  -0.0013499947  -0.0034746220  -0.0048246169   0.0009996546   0.0009996546   0.0004407031   0.0014403578   3.4257102013  -0.0034792579  -0.0004448579   3.4533991814   0.0008077868 249.5960998535   0.0013499947   0.0004039334  -0.0000143196   0.4584162235   0.4585398138   0.0111712217   0.0009996546   0.0205061324   0.0308297109
   0.0012196138 249.3901977539   0.0000000005   0.6940315962   0.0002851194   0.7217224836  19.9589328766   0.8406952024 111.7432098389   2.5134663582   0.0028265386  -0.0028265386  -0.0007338580  -0.0035603966   0.0028331734   0.0028331734   0.0000526296   0.0028858029   1.4309672117  -0.0007749014  -0.0000518130   1.3341470957   0.0016314408 249.1842803955   0.0028265386   0.0010711664  -0.0000267002   0.4972417951   0.5375452042   0.0120375454   0.0028331734   0.0399572998   0.0335138887
   0.0020513164 248.9743347168   0.0000000022   0.6913694143   0.0004670925   0.6873706579  19.9586277008   0.8408493400 111.7427749634   2.4748139381   0.0042139427  -0.0042139427  -0.0004544061  -0.0046683489   0.0048275376   0.0048275376   0.0000900693   0.0049176067   3.4603934288  -0.0004523337  -0.0000866322   3.3435935974   0.0024711920 248.7644042969   0.0042139427   0.0015460892  -0.0000331616   0.4934005439   0.4872598052   0.0132825766   0.0048275376   0.0496870875   0.0369461589
   0.0028992021 248.5503997803   0.0000000011   0.6855109334   0.0006406124   0.6704780459  19.9584350586   0.8409373760 111.7420120239   2.4357497692   0.0056212777  -0.0056212777  -0.0004678206  -0.0060890983   0.0069633690   0.0069633690   0.0000915867   0.0070549557   3.1608121395  -0.0004367355  -0.0000876796   3.2413485050   0.0033272123 248.3363952637   0.0056212777   0.0019915299  -0.0000352233   0.4850241840   0.4631552100   0.0148873674   0.0069633690   0.0586890467   0.0387015380
   0.0037635460 248.1182250977   0.0000000000   0.6805700064   0.0008109914   0.6643677354  19.9582328796   0.8409847021 111.7412185669   2.4115643501   0.0070605953  -0.0070605953  -0.0005758299  -0.0076364251   0.0090910289   0.0090910289   0.0000824474   0.0091734761   2.2240331173  -0.0005897010  -0.0000880935   2.3204410076   0.0041998797 247.9000549316   0.0070605953   0.0024544313  -0.0000366553   0.4779970646   0.4542288482   0.0168663263   0.0090910289   0.0681477934   0.0408162475
   0.0046446305 247.6776885986  -0.0000000008   0.6766393185   0.0009789714   0.6614754200  19.9579792023   0.8410147429 111.7404937744   2.3887012005   0.0085300552  -0.0085300552  -0.0006668900  -0.0091969455   0.0112326434   0.0112326434   0.0000974816   0.0113301249   2.2200775146  -0.0006503879  -0.0000958441   2.2381687164   0.0050893817 247.4553070068   0.0085300552   0.0029155042  -0.0000388520   0.4724253118   0.4496704936   0.0192367993   0.0112326434   0.0785421729   0.0424642935
   0.0055426909 247.2286529541   0.0000000021   0.6734631062   0.0011442696   0.6597543359  19.9576797485   0.8410691023 111.7396163940   2.3711032867   0.0100364564  -0.0100364564  -0.0007585174  -0.0107949739   0.0133874631   0.0133874631   0.0000925925   0.0134800551   1.8302994967  -0.0007760901  -0.0000922776   1.7827744484   0.0059959996 247.0019989014   0.0100364564   0.0033759947  -0.0000421001   0.4679235220   0.4466145337   0.0220159832   0.0133874631   0.0895927772   0.0443603098
   0.0064579961 246.7710113525   0.0000000009   0.6708326340   0.0013063319   0.6585937738  19.9573326111   0.8410843611 111.7387695312   2.3540318012   0.0115870424  -0.0115870424  -0.0009365077  -0.0125235496   0.0155618042   0.0155618042   0.0001058332   0.0156676378   1.6828794479  -0.0009526221  -0.0001093959   1.7101060152   0.0069199926 246.5400085449   0.0115870424   0.0038382292  -0.0000464711   0.4641923308   0.4442096651   0.0252216607   0.0155618042   0.1005120501   0.0462614372
   0.0073907869 246.3045959473  -0.0000000008   0.6686097383   0.0014644593   0.6577671170  19.9568958282   0.8411166072 111.7377853394   2.3394927979   0.0131805493  -0.0131805493  -0.0011236672  -0.0143042170   0.0177476015   0.0177476015   0.0001254093   0.0178730115   1.6577378511  -0.0011058056  -0.0001212914   1.6292026043   0.0078615807 246.0692138672   0.0131805493   0.0043032668  -0.0000519671   0.4610295594   0.4421404600   0.0288702268   0.0177476015   0.1099110991   0.0486087874
   0.0083413487 245.8293304443   0.0000000004   0.6666986942   0.0016178951   0.6571684480  19.9563617706   0.8411605358 111.7365875244   2.3263552189   0.0148135843  -0.0148135843  -0.0012602654  -0.0160738491   0.0199136715   0.0199136715   0.0001567255   0.0200703964   1.8501909971  -0.0012533807  -0.0001586515   1.8832149506   0.0088211168 245.5894317627   0.0148135843   0.0047721281  -0.0000585585   0.4583005309   0.4402595758   0.0329777896   0.0199136715   0.1163120642   0.0514256805
